Site,Site_code,Interview Number,MAP,Interviewee ID,Sex of Interviewee,Age,Relationship to HH,Engaged in Work,Unemployment Reason,Type of Employment,Education,Percent Wood Purchased,Percent Wood Collected,FMP,SMP,TMP,FMP,SMP,TMP,Cooking,Lighting,Heating,Commerce,Charcoal Production,Preferred Species Cooking 1,Preferred Species Cooking 2,Preferred Species Cooking 3,Utilized Species Cooking 1,Utilized Species Cooking 2,Utilized Species Cooking 3,Preferred Species Lighting 1,Preferred Species Lighting 2,Preferred Species Lighting 3,Utilized Species Lighting 1,Utilized Species Lighting 2,Utilized Species Lighting 3,Preferred Species Heating 1,Preferred Species Heating 2,Preferred Species Heating 3,Utilized Species Heating 1,Utilized Species Heating 2,Utilized Species Heating 3,Preferred Species Commerce 1,Preferred Species Commerce 2,Preferred Species Commerce 3,Utilized Species Commerce 1,Utilized Species Commerce 2,Utilized Species Commerce 3,Preferred Species Charcoal 1,Preferred Species Charcoal 2,Preferred Species Charcoal 3,Utilized Species Charcoal 1,Utilized Species Charcoal 2,Utilized Species Charcoal 3,Dead/Live Collection,Prop. Dead Collect,Prop. Live Cut,Reason for Prop.,Dead/Live Preference,Daily Wood Consumption (kg),No. Sticks per day,No. People in HH,SubSample Wet (kg),SubSample Wet (g),SubSample Dry (g),Dry:Wet Ratio,Corrected_ratio,Annual Wood Demand (kg/cap/year),Sex of Collector,Collectors Relation to HH,Sex of Wood Buyer,Buyer Relation to HH,Money/Year (CFA),Sex of Cutter,Cutter Relation to HH,Prop. Dead Collected Savanna,Prop. Dead Collected Ag,Prop. Live Cut Savanna,Prop. Live Cut Ag,Prop. Purchased,Prop. Collect Savanna Rainy Season,Prop. Collect Savanna Dry Season,Prop. Collect Ag Rainy Season,Prop. Collect Ag Dry Season,Prop. Cut Savanna Rainy Season,Prop. Cut Savanna Dry Season,Prop. Cut Ag Rainy Season,Prop. Cut Ag Dry Season,Type Cookstove,Cut Distance Travel Species 1 (hr),Cut Distance Travel Species 2 (hr),Cut Distance Travel Species 3 (hr),Cut Means Travel Species 1,Cut Means Travel Species 2,Cut Means Travel Species 3,Collect Distance Travel Species 1,Collect Distance Travel Species 2,Collect Distance Travel Species 3,Collect Means Travel Species 1,Collect Means Travel Species 2,Collect Means Travel Species 3,
DFiela ,d,8,1000,1,1,52,0,1,,8 and 2,6,0,100,1,3,,2,2,2,80,0,20,0,0,9,3,11,9,3,11,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,60,40,,,3.4,15,16,0.08,80,68.81,0.860125,0.860125,1000.70168,2,1,,,,,,20,80,100,0,0,40,60,0,100,0,100,0,0,1,0.5,0.5,0.17,F,F,F,0.5,0.5,0.17,F,F,F,No recorded data for cutting demographics
DFiela ,d,8,1000,2,2,23,1,1,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,9,1000,1,1,57,0,1,,8,1,0,100,1,3,,2,2,2,80,0,20,0,0,3,4,2,3,4,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,30,70,,,2.93,12,13,0.19,190,,0,0,,2,1,,,,2,1,40,60,70,30,0,0,100,0,100,0,100,0,100,1,1,1,1,F,F,F,1,1,1,F,F,F,
DFiela ,d,9,1000,2,2,48,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,10,1000,1,1,41,0,1,,8,1,0,100,1,3,,2,2,2,80,0,20,0,0,2,4,3,4,3,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,40,60,,,2.81,10,,0.09,90,92.32,1.025777778,1,,2,1,,,,2,1,100,0,100,0,0,0,100,0,0,0,100,0,0,1,1,1,1,F,F,F,1,1,1,F,F,F,Unknown  household size 
DFiela ,d,10,1000,2,2,30,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKorkodio,a,1,350,,1,84,0,2,5,,12,0,100,1,,,3,1,2,100,0,0,0,0,10,10,10,1,2,3,10,10,10,10,10,10,,,,,,,10,10,10,10,10,10,,,,,,,1,100,0,5,1,0.43,12,7,0.04,40,34.49,0.86225,0.86225,231.9945214,3,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,1,1,1,F,F,F,
AKorkodio,a,2,350,,1,60,0,2,6,,1,0,100,1,,,2,1,,100,0,0,0,0,10,10,10,5,10,10,10,10,10,10,10,10,,,,,,,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.02,12,7,0.05,50,39.39,0.7878,0.7878,502.7964686,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,2,2,2,F,F,F,
AKorkodio,a,3,350,,2,70,0,2,6,,1,0,100,1,3,,2,1,,95,0,5,0,0,1,5,6,1,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,95,5,5,1,0.21,18,10,0.02,20,19.07,0.9535,0.9535,131.554395,1,2,,,,1,2,95,5,0,100,0,50,50,0,100,0,0,0,100,1,1,1,1,F,F,F,1,1,1,F,F,F,
AKorkodio,a,4,350,,2,17,2,1,,8,1,0,100,1,,,2,1,,100,0,0,0,0,10,10,10,6,1,4,10,10,10,10,10,10,,,,,,,10,10,10,10,10,10,,,,,,,1,100,0,,,0.46,6,10,0.03,30,29.48,0.982666667,0.982666667,98.99384,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,,,,,,,Women didn't know most of the answers; kids that collect wood not around
AKorkodio,a,5,350,,1,43,0,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,10,10,10,5,4,1,10,10,10,10,10,10,8,10,10,8,10,10,10,10,10,10,10,10,,,,,,,1,100,0,5,1,0.86,12,8,0.1,100,81.43,0.8143,0.8143,383.413155,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.75,0.75,0.75,DC,DC,DC,
AKorkodio,a,6,350,,2,,1,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,5,2,7,5,2,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,0.79,10,10,0.03,30,61.02,2.034,1,586.5039,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,1,1,1,DC,DC,DC,
AKorkodio,a,7,350,,1,58,0,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,10,10,10,1,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,4,1,,,,,0,,#DIV/0!,#DIV/0!,,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,1.5,1.5,1.5,F,F,F,No Wood to measure; they had used it all that day
AKorkodio,a,8,350,,1,68,0,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,1,5,4,1,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,2.1,12,7,0.11,110,95.58,0.868909091,0.868909091,1141.746545,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.75,0.75,0.75,F,F,F,
AKorkodio,a,9,350,,1,58,0,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,5,1,4,5,1,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.35,9,14,0.15,150,134.79,0.8986,0.8986,284.6475964,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,1.5,1.5,1.5,F,F,F,
AKorkodio,a,10,350,,2,40,1,1,,8,1,0,100,1,3,,2,1,,95,0,5,0,0,5,1,3,5,1,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.32,8,10,0.05,50,41.71,0.8342,0.8342,321.534048,2,1,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,2,2,2,F,F,F,
AKorkodio,a,11,350,,2,60,1,1,,8,12,0,100,1,3,,2,,,95,5,0,0,0,5,4,1,5,4,1,10,10,10,10,10,10,1,5,10,1,5,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,3.23,10,20,0.08,80,64.77,0.809625,0.809625,477.2536969,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.5,0.5,0.5,F,F,F,
AKorkodio,a,12,350,,1,32,0,1,,8,1,0,100,1,3,,2,1,,95,5,0,0,0,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.65,10,4,0.07,70,65.22,0.931714286,0.931714286,1402.812321,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.5,0.5,0.5,F,F,F,
AKorkodio,a,13,350,,1,50,0,1,,8,1,0,100,1,3,,2,1,,95,5,0,0,0,1,6,5,1,6,5,10,10,10,10,10,10,3,10,10,3,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,2.22,10,5,0.06,60,59.61,0.9935,0.9935,1610.0661,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,2,,,,,,,0.5,0.5,0.5,F,F,F,
AKorkodio,a,14,350,,1,26,6,1,,8,12,0,100,1,3,,2,,,95,5,0,0,0,5,1,4,5,1,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.78,6,9,0.13,130,100.02,0.769384615,0.769384615,333.2461231,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.5,0.5,0.5,F,F,F,
AKorkodio,a,15,350,,2,30,1,1,,8,1,0,100,1,3,,2,,,95,5,0,0,0,5,1,7,5,1,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,1,100,0,4,1,2.31,5,6,0.14,140,122.68,0.876285714,0.876285714,615.70025,2,1,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.3,0.3,0.3,DC,DC,DC,
AKorkodio,a,16,350,,2,51,1,2,7,,12,0,100,1,3,,2,,,95,5,0,0,0,5,3,10,5,3,10,10,10,10,10,10,10,5,3,10,5,3,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,1.06,10,5,0.05,50,35.69,0.7138,0.7138,552.33844,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.5,0.5,0.5,F,F,F,"They cut wood once from a field they were about to cultivate, and had a certificate for it. She never cuts trees because she has never seen anyone do it."
AKorkodio,a,17,350,,2,60,1,2,5,,1,0,100,1,3,,1,2,,95,5,0,0,0,5,1,10,5,1,10,10,10,10,10,10,10,5,10,10,5,10,10,10,10,10,10,10,10,,,,,,,1,100,0,4,1,1.73,12,16,0.07,70,60.47,0.863857143,0.863857143,409.1119446,2,1,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.75,0.75,0.75,F,F,F,
AKorkodio,a,18,350,,1,80,0,2,5,,12,0,100,1,3,,2,1,,95,5,0,0,0,5,1,3,5,1,3,10,10,10,10,10,10,1,3,5,1,3,5,10,10,10,10,10,10,,,,,,,1,100,0,4,1,0.53,15,9,0.03,30,25.49,0.849666667,0.849666667,273.9466944,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.5,0.5,0.5,F,F,F,
AKorkodio,a,19,350,,1,40,0,1,,8,12,0,100,1,3,,2,,,95,5,0,0,0,5,1,2,5,1,3,10,10,10,10,10,10,5,3,10,5,3,10,10,10,10,10,10,10,,,,,,,1,100,0,3,1,0.53,9,15,0.03,30,,0,0,,1,2,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,1,1,1,F,F,F,SAME WOOD SAMPLE AS 18
AKorkodio,a,20,350,,1,28,0,1,,8,12,0,100,1,3,,2,,,95,5,0,0,0,5,4,1,5,4,1,10,10,10,10,10,10,5,10,10,5,10,10,10,10,10,10,10,10,,,,,,,1,100,0,4,1,3.01,9,9,0.04,40,31.96,0.799,0.799,877.82135,1,0,,,,,,100,0,0,0,0,50,50,0,0,,,,,1,,,,,,,0.75,0.75,0.75,F,F,F,
BLakamane,b,1,570,1,1,74,0,2,7- chief,,1,0,100,1,3,,2,3,,80,0,20,0,0,1,2,3,1,2,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,90,10,4,D,3.26,27,10,0.05,50,45.51,0.9102,0.9102,2924.226846,1,2,,,,1,2,100,0,0,100,0,50,50,0,0,0,0,0,100,1,0.66,0.66,0.66,DC,DC,DC,1,1,1,DC,DC,DC,
BLakamane,b,1,570,2,2,64,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLakamane,b,2,570,1,2,60,1,2,5,,1,0,100,1,3,,1,2,,85,0,15,0,0,1,2,3,1,2,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,3,D,5.02,13,15,0.14,140,125.35,0.895357143,0.895357143,1421.821174,1,8,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,1.5,1.5,1.5,DC,DC,DC,reason for proportion: the pay someone to collect for them
BLakamane,b,2,570,2,2,85,1,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLakamane,b,3,570,1,1,63,0,2,5,,1,0,100,1,3,,2,1,,70,0,10,20,0,1,3,2,1,3,2,,,,,,,10,10,10,10,10,10,2,1,3,2,1,3,,,,,,,1,100,0,2,D,3.21,36,50,0.14,140,113.78,0.812714286,0.812714286,685.5960189,1,3,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,0.5,0.5,0.5,DC,DC,DC,
BLakamane,b,3,570,2,1,31,2,1,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,
BLakamane,b,4,570,1,1,46,0,1,,8,5,0,100,1,3,,2,1,,90,0,10,0,0,2,1,3,2,1,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,3,D,2.97,8,15,0.18,180,151.27,0.840388889,0.840388889,485.87924,1,6,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,1.25,1.25,1.25,DC,DC,DC,"reason for proportion: does not want to cut because he wants the forest to grow: ""any good person wants the forest to grow"" "
BLakamane,b,5,570,1,2,41,1,1,,8,4,0,100,1,3,,2,1,,90,0,10,0,0,1,3,2,1,3,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,2 and 5 ,D,0.94,10,10,0.13,130,106.85,0.821923077,0.821923077,282.0018077,1,8,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,1,1,1,DC,DC,DC,
BLakamane,b,6,570,1,1,36,0,1,,8,5,0,100,1,3,,1,2,,90,0,10,0,0,2,1,3,2,1,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,80,21,2 and 3,D,1.86,12,12,0.04,40,29.25,0.73125,0.73125,496.445625,1,6,,,,,,100,0,0,100,0,50,50,0,0,0,0,0,0,1,0.5,0.5,0.5,DC,DC,DC,1.5,1.5,1.5,DC,DC,DC,Reason for proportion: do not cut because they need the forest to keep producing wood 
BLakamane,b,7,570,1,1,25,0,1,,8,7,0,100,1,3,,2,3,,90,0,10,0,0,10,10,10,10,10,10,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,2,D,2.11,2,1,0.14,140,114.11,0.815071429,0.815071429,1255.454521,1,0,,,,,,0,0,100,0,0,0,0,50,50,0,0,0,0,1,,,,,,,0.25,0.25,0.25,F,F,F,
BLakamane,b,8,570,1,1,69,0,1,,8,1,0,100,1,3,,1,2,,90,0,10,0,0,1,3,2,1,3,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,85,15,3,D,3.2,18,20,0.1,100,67.26,0.6726,0.6726,707.03712,1,2,,,,1,2,100,0,0,100,0,50,50,0,0,0,0,0,100,1,0.5,0.5,0.5,DC,DC,DC,1,1,1,DC,DC,DC,Reason for proportion: only cut before rainy season 
BLakamane,b,8,570,2,2,60,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLakamane,b,9,570,1,2,42,1,1,,2,3,100,0,1,3,,1,2,,90,0,10,0,0,10,10,10,2,1,10,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,1.36,6,3,0.07,70,56.78,0.811142857,0.811142857,805.3026286,,,2,1,18000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
BLakamane,b,10,570,1,1,63,0,2,7,,11,0,100,1,3,,2,,,90,0,10,0,0,1,3,2,1,3,5,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,90,10,2,D,1.59,10,12,0.05,50,43.37,0.8674,0.8674,419.496325,1,2,,,,,,100,0,0,100,0,50,50,0,0,0,0,0,100,1,0.66,0.66,0.66,DC,DC,DC,1,1,1,DC,DC,DC,
BLakamane,b,11,570,1,1,48,0,1,,8 and 2 ,1,60,40,1,3,,1,2,,90,0,10,0,0,2,1,10,2,1,10,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,2 and 5,D,3.04,6,14,0.06,60,48.06,0.801,0.801,380.9098286,1,0,1,0,90000,,,100,0,0,0,60,50,50,0,0,0,0,0,0,1,,,,,,,2,2,2,DC,DC,DC,
BLakamane,b,12,570,1,1,26,6,1,,8 AND 2,5,0,100,1,3,,2,1,,90,0,10,0,0,1,2,10,1,2,10,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,2 and 6 ,D,4,12,20,0.23,230,187.6,0.815652174,0.815652174,714.5113043,1 AND 2,6,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,0.5,0.5,0.5,DC,DC,DC,reason for proportion: difficult to light live wood 
BLakamane,b,13,570,1,2,40,1,1,,8,1,0,100,1,3,,2,,,90,0,10,0,0,10,10,10,1,2,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,2 and 3,D,2.48,16,30,0.31,310,271.91,0.877129032,0.877129032,423.4545067,2,1,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,0.5,0.5,0.5,DC,DC,DC,reason for proportion: gov't says it is illegal to cut live wood if dead wood is available 
BLakamane,b,14,570,1,2,36,1,1,,8,3,0,100,1,3,,2,1,,90,0,10,0,0,1,3,2,1,3,2,,,,,,,1,3,2,1,3,2,,,,,,,,,,,,,1,100,0,3,D,0.32,12,14,0.05,50,36.28,0.7256,0.7256,72.64292571,1,2,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,1,,,,,,,1,1,1,F,F,F,reason for proportion: difficlt to light live wood 
BLakamane,b,15,570,1,2,48,1,1,,5,1,80,20,1,3,,2,3,,90,0,10,0,0,1,3,2,1,3,2,,,,,,,2,10,10,2,10,10,,,,,,,,,,,,,1,100,0,6,D,0.95,10,8,0.09,90,65.71,0.730111111,0.730111111,316.4575347,1,2,1,0,24000,,,100,0,0,0,80,50,50,0,0,0,0,0,0,1,,,,,,,0.5,0.5,0.5,F,F,F,
BLakamane,b,15,570,2,1,52,0,1,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLakamane,b,16,570,1,2,54,1,1,,8,1,0,100,1,3,,2,3,,90,0,10,0,0,2,1,,2,1,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,1,100,0,5,D,0.38,30,15,0.08,80,62.1,0.77625,0.77625,215.33175,1,2,,,,,,100,0,0,0,0,50,50,0,0,0,0,0,0,2,,,,,,,2,2,2,DC,DC,DC,
