Site,Site_code,Interview Number,MAP,Interviewee ID,Sex of Interviewee,Age,Relationship to HH,Engaged in Work,Unemployment Reason,Type of Employment,Education,Percent Wood Purchased,Percent Wood Collected,FMP,SMP,TMP,FMP,SMP,TMP,Cooking,Lighting,Heating,Commerce,Charcoal Production,Preferred Species Cooking 1,Preferred Species Cooking 2,Preferred Species Cooking 3,Utilized Species Cooking 1,Utilized Species Cooking 2,Utilized Species Cooking 3,Preferred Species Lighting 1,Preferred Species Lighting 2,Preferred Species Lighting 3,Utilized Species Lighting 1,Utilized Species Lighting 2,Utilized Species Lighting 3,Preferred Species Heating 1,Preferred Species Heating 2,Preferred Species Heating 3,Utilized Species Heating 1,Utilized Species Heating 2,Utilized Species Heating 3,Preferred Species Commerce 1,Preferred Species Commerce 2,Preferred Species Commerce 3,Utilized Species Commerce 1,Utilized Species Commerce 2,Utilized Species Commerce 3,Preferred Species Charcoal 1,Preferred Species Charcoal 2,Preferred Species Charcoal 3,Utilized Species Charcoal 1,Utilized Species Charcoal 2,Utilized Species Charcoal 3,Dead/Live Collection,Prop. Dead Collect,Prop. Live Cut,Reason for Prop.,Dead/Live Preference,Daily Wood Consumption (kg),No. Sticks per day,No. People in HH,SubSample Wet (kg),SubSample Wet (g),SubSample Dry (g),Dry:Wet Ratio,Corrected_ratio,Annual Wood Demand (kg/cap/year),Sex of Collector,Collectors Relation to HH,Sex of Wood Buyer,Buyer Relation to HH,Money/Year (CFA),Sex of Cutter,Cutter Relation to HH,Prop. Dead Collected Savanna,Prop. Dead Collected Ag,Prop. Live Cut Savanna,Prop. Live Cut Ag,Prop. Purchased,Prop. Collect Savanna Rainy Season,Prop. Collect Savanna Dry Season,Prop. Collect Ag Rainy Season,Prop. Collect Ag Dry Season,Prop. Cut Savanna Rainy Season,Prop. Cut Savanna Dry Season,Prop. Cut Ag Rainy Season,Prop. Cut Ag Dry Season,Type Cookstove,Cut Distance Travel Species 1 (hr),Cut Distance Travel Species 2 (hr),Cut Distance Travel Species 3 (hr),Cut Means Travel Species 1,Cut Means Travel Species 2,Cut Means Travel Species 3,Collect Distance Travel Species 1,Collect Distance Travel Species 2,Collect Distance Travel Species 3,Collect Means Travel Species 1,Collect Means Travel Species 2,Collect Means Travel Species 3,
DFiela ,d,1,1000,1,2,68,1,1,,8,1,0,100,1,3,2,2,2,2,80,0,20,0,0,1,2,3,4,5,3,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,60,40,,,1.96,30,30,0.09,90,79.34,0.881555556,0.881555556,630.6648444,2,1,,,,2,1,70,30,100,0,0,10,90,0,100,0,100,0,100,1,1,1,1.5,F,F,F,1,1,1.5,F,F,F,
DFiela ,d,1,1000,2,1,50,2,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,2,1000,1,1,49,0,1,,8,1,0,100,1,2,,2,2,2,80,0,19,0,1,3,4,2,3,2,4,,,,,,,10,10,10,10,10,10,,,,,,,4,2,10,4,2,10,3,60,40,,,1.21,30,50,0.02,20,18.67,0.9335,0.9335,247.368165,2,1,,,,2,1,100,0,100,0,0,0,100,0,0,0,100,0,0,1,2,2,2,F,F,F,2,2,2,F,F,F,
DFiela ,d,2,1000,2,2,42,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,3,1000,1,1,60,0,2,5,,1,0,100,1,3,,2,2,2,80,0,20,0,0,3,4,2,3,4,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,70,30,,,0.92,25,34,0.03,30,18.46,0.615333333,0.615333333,151.9330392,2,1,,,,2,1,60,40,80,20,0,0,100,0,100,0,100,20,80,1,2,2,1,F,F,F,2,2,1,F,F,F,
DFiela ,d,3,1000,2,2,56,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,4,1000,1,1,44,0,1,,8,1,0,100,1,3,,2,2,2,80,0,20,0,0,4,2,3,2,4,6,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,60,40,,,2.08,12,15,0.08,80,73.08,0.9135,0.9135,554.82336,2,1,,,,2,1,100,0,100,0,0,0,100,0,0,0,100,0,0,1,1,1,1,F,F,F,1,1,1,F,F,F,"Prefers Chos because you cant eat the fruit, thus best to use it for fuelwood. "
DFiela ,d,4,1000,2,2,36,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,5,1000,1,1,65,0,2,5,,1,0,100,1,3,,2,2,2,80,0,19,0,1,3,4,7,3,4,7,,,,,,,10,10,10,10,10,10,,,,,,,2,5,8,2,5,8,3,40,60,,,2.96,12,26,0.07,70,58.23,0.831857143,0.831857143,414.8023648,2,1,,,,2,1,40,60,100,0,0,0,100,0,100,0,100,0,0,1,2,2,2,F,F,F,2,2,2,F,F,F,
DFiela ,d,5,1000,2,2,51,1,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,5,1000,3,1,37,2,1,,8 and 5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,6,1000,1,1,38,6,1,,8,1,0,100,1,3,,2,2,2,80,0,20,0,0,3,4,9,3,4,9,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,30,70,,,2.91,20,40,0.06,60,53.51,0.891833333,0.891833333,473.6303875,3,9,,,,3,9,70,30,70,30,0,0,100,0,100,0,100,0,100,1,1.5,1.5,1.5,F,F,F,1.5,1.5,1.5,F,F,F,
DFiela ,d,6,1000,2,2,35,7,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFiela ,d,7,1000,1,2,52,1,2,6,,1,0,100,1,3,,2,2,2,80,0,20,0,0,10,10,10,3,4,2,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,3,40,60,,,2.72,25,15,0.17,170,142.33,0.837235294,0.837235294,1385.345333,2,1,,,,2,1,100,0,100,0,0,0,100,0,0,0,100,0,0,1,1.5,1.5,1.5,F,F,F,2,2,2,F,F,F,
